"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 28 18:12:02 GMT 2023","Tue Nov 28 18:12:02 GMT 2023","249","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForGuestsField","Check 'Guests Field' default values of Search Form on Home Page",""
"passed","Tue Nov 28 18:12:01 GMT 2023","Tue Nov 28 18:12:01 GMT 2023","22","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormearchButtonIsVisible","Check 'Search Button' visibility of Search Form on Home Page",""
"failed","Tue Nov 28 18:12:00 GMT 2023","Tue Nov 28 18:12:01 GMT 2023","1232","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormGuestsSelectorIsVisible","Check 'Guests Selector' visibility of Search Form on Home Page",""
"passed","Tue Nov 28 18:12:02 GMT 2023","Tue Nov 28 18:12:02 GMT 2023","12","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForCheckOutDate","Check 'Check Out Calendar' default values of Search Form on Home Page",""
"passed","Tue Nov 28 18:12:01 GMT 2023","Tue Nov 28 18:12:01 GMT 2023","19","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormTitleIsVisible","Check 'Title Label' visibility of Search Form on Home Page",""
"passed","Tue Nov 28 18:12:02 GMT 2023","Tue Nov 28 18:12:02 GMT 2023","17","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForCheckInDate","Check 'Check In Calendar' default values of Search Form on Home Page",""
"passed","Tue Nov 28 18:12:02 GMT 2023","Tue Nov 28 18:12:02 GMT 2023","24","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForTitleLabel","Check 'Title Label' default values of Search Form on Home Page",""
"passed","Tue Nov 28 18:12:02 GMT 2023","Tue Nov 28 18:12:02 GMT 2023","535","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForSubtitleLabel","Check 'Subtitle Label' default values of Search Form on Home Page",""
"broken","Tue Nov 28 18:11:45 GMT 2023","Tue Nov 28 18:11:57 GMT 2023","12230","","org.example.alpinizm.tests.home.searchForm.e2e.SearchPropertiesTest","","org.example.alpinizm.tests.home.searchForm.e2e.SearchPropertiesTest","searchProperties","[1] Barcelona, 2023-11-28, 2023-11-30, 2, false, [Air conditioning], 2",""
"passed","Tue Nov 28 18:11:59 GMT 2023","Tue Nov 28 18:12:00 GMT 2023","1217","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormCheckInCalendarIsVisible","Check 'Check In Calendar' visibility of Search Form on Home Page",""
"broken","Tue Nov 28 18:12:02 GMT 2023","Tue Nov 28 18:12:02 GMT 2023","9","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForLocationDropdownLabel","Check 'Location Dropdown' default values of Search Form on Home Page",""
"passed","Tue Nov 28 18:11:58 GMT 2023","Tue Nov 28 18:11:59 GMT 2023","299","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormCheckOutCalendarIsVisible","Check 'Check Out Calendar' visibility of Search Form on Home Page",""
"passed","Tue Nov 28 18:12:01 GMT 2023","Tue Nov 28 18:12:01 GMT 2023","50","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormAmenitiesCheckboxesIsVisible","Check 'Amenities Checkboxes' visibility of Search Form on Home Page",""
"passed","Tue Nov 28 18:12:02 GMT 2023","Tue Nov 28 18:12:03 GMT 2023","476","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","","org.example.alpinizm.tests.home.searchForm.visibility.DefaultValuesTest","checkDefaultValuesForFilters","Check 'Amenities' default values of Search Form on Home Page",""
"passed","Tue Nov 28 18:11:58 GMT 2023","Tue Nov 28 18:11:58 GMT 2023","659","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormSubtitleIsVisible","Check 'Subtitle Label' visibility of Search Form on Home Page",""
"failed","Tue Nov 28 18:12:01 GMT 2023","Tue Nov 28 18:12:01 GMT 2023","9","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","","org.example.alpinizm.tests.home.searchForm.visibility.PresenceTest","checkIfSearchFormLocationDropdownIsVisible","Check 'Location Dropdown' visibility of Search Form on Home Page",""
